pVal,phase,peak.shape,period,names
0.004238159836355098,20,16,24,AC026362.1_ctrl
0.0034780294801521152,20,12,24,AC026367.3_ctrl
7.366837490048437e-4,20,16,24,AC026401.3_ctrl
0.020896420679890764,20,8,24,AC026471.1_ctrl
2.0428644032218308e-5,20,12,24,AC026471.6_ctrl
0.0013274764929493406,24,4,24,AC026691.1_ctrl
0.005251398020360371,12,12,24,AC026740.1_ctrl
0.0042139610196640425,20,16,24,AC026979.2_ctrl
0.022092275323772573,16,8,24,AC026979.4_ctrl
0.034878446015555044,20,8,24,AC027031.2_ctrl
3.4028796974348315e-4,20,12,24,AC027097.1_ctrl
4.622624564167664e-4,20,8,24,AC027117.1_ctrl
8.327729336576494e-4,24,8,24,AC027307.2_ctrl
0.0012764197047589812,20,20,24,AC027307.3_ctrl
7.491998559791375e-5,24,8,24,AC027601.1_ctrl
0.01236228646381868,20,16,24,AC027601.6_ctrl
0.002391993435932433,20,16,24,AC027644.3_ctrl
0.030802123714755547,20,12,24,AC027682.1_ctrl
0.030726734813032862,20,16,24,AC034198.2_ctrl
6.892638675008065e-5,20,16,24,AC034236.2_ctrl
3.8830046339008374e-4,24,8,24,AC036176.1_ctrl
0.00440551681272374,4,20,24,AC036214.2_ctrl
0.014380035966588616,4,20,24,AC036214.3_ctrl
0.0014295900693300592,4,20,24,AC037198.1_ctrl
0.017293641320303414,24,4,24,AC040169.1_ctrl
5.948425999226917e-4,20,12,24,AC040970.1_ctrl
0.03427212729145974,20,16,24,AC040977.1_ctrl
4.067909616467544e-4,24,8,24,AC046134.2_ctrl
0.01869887682614814,20,16,24,AC046143.1_ctrl
0.0011903089595825137,20,8,24,AC048341.2_ctrl
0.014772468660111953,16,20,24,AC051619.4_ctrl
0.0020532928250721013,20,8,24,AC053545.1_ctrl
0.029544937320223907,20,8,24,AC060780.1_ctrl
0.0033438253112793724,24,4,24,AC060814.2_ctrl
2.1385241898605926e-5,24,4,24,AC064807.1_ctrl
2.4934785859425653e-4,20,8,24,AC064850.1_ctrl
0.010239861119081126,20,8,24,AC067750.1_ctrl
2.2856887037806848e-4,20,16,24,AC067852.2_ctrl
2.974212999613458e-4,24,8,24,AC067852.5_ctrl
0.013974758611273291,20,8,24,AC067930.8_ctrl
1.8926809997540193e-4,20,16,24,AC068057.2_ctrl
0.005708041326478665,20,12,24,AC068205.2_ctrl
8.007432054400475e-4,20,8,24,AC068338.2_ctrl
3.365641083845374e-5,20,8,24,AC068473.5_ctrl
0.0304638539288262,4,4,24,AC068533.4_ctrl
0.04617411739135939,4,8,24,AC068580.4_ctrl
0.008476319672710196,16,16,24,AC068587.4_ctrl
0.03251696458175186,4,4,24,AC068775.1_ctrl
4.336790866868948e-5,16,12,24,AC068831.8_ctrl
3.0533035452576517e-4,24,4,24,AC068870.2_ctrl
0.0010551052725899987,24,12,24,AC068888.1_ctrl
0.00439550000609615,20,8,24,AC069185.1_ctrl
0.005467413567845562,20,8,24,AC069222.1_ctrl
0.009889875013716335,20,12,24,AC069307.1_ctrl
0.00345826197669666,20,16,24,AC069360.1_ctrl
6.218808999191777e-4,12,12,24,AC069499.2_ctrl
0.017293641320303414,24,4,24,AC069503.1_ctrl
0.0021425664261621926,20,16,24,AC069544.1_ctrl
2.3895836448616252e-4,20,16,24,AC072061.1_ctrl
0.013803843271283481,24,12,24,AC073107.1_ctrl
4.139664009283995e-5,24,12,24,AC073111.4_ctrl
0.0021425664261621926,16,8,24,AC073130.1_ctrl
0.004120762154606227,20,12,24,AC073195.2_ctrl
4.0037160272002374e-4,24,4,24,AC073370.1_ctrl
0.012396582729817772,16,20,24,AC073389.1_ctrl
0.04959442238331194,20,8,24,AC073389.3_ctrl
6.892638675008065e-5,20,8,24,AC073508.3_ctrl
0.0012444139122908095,16,16,24,AC073529.1_ctrl
1.7243222540739523e-4,16,12,24,AC073585.1_ctrl
0.04788426988733566,24,8,24,AC073610.2_ctrl
3.212657398216039e-5,20,8,24,AC073857.1_ctrl
0.015173134973094688,16,8,24,AC073896.1_ctrl
0.04959442238331194,20,16,24,AC074032.1_ctrl
0.013884172657395905,24,4,24,AC074044.1_ctrl
0.0021425664261621926,12,16,24,AC074141.1_ctrl
0.00345826197669666,20,8,24,AC074194.1_ctrl
4.139664009283995e-5,20,12,24,AC074386.1_ctrl
0.0021425664261621926,20,8,24,AC078820.2_ctrl
0.029544937320223907,20,16,24,AC078846.1_ctrl
1.578189615714581e-5,20,8,24,AC078883.1_ctrl
0.0012985188649991056,20,8,24,AC078923.1_ctrl
0.0075248700214548495,24,4,24,AC079142.1_ctrl
0.0026256990101801857,20,16,24,AC079145.1_ctrl
0.004236073858388212,24,4,24,AC079610.1_ctrl
